"","composers","Season.1842.43","Season.1843.44","Season.1844.45","Season.1845.46","Season.1846.47","Season.1847.48","Season.1848.49","Season.1849.50","Season.1850.51","Season.1851.52","Season.1852.53","Season.1853.54","Season.1854.55","Season.1855.56","Season.1856.57","Season.1857.58","Season.1858.59","Season.1859.60","Season.1860.61","Season.1861.62","Season.1862.63","Season.1863.64","Season.1864.65","Season.1865.66","Season.1866.67","Season.1867.68","Season.1868.69","Season.1869.70","Season.1870.71","Season.1871.72","Season.1872.73","Season.1873.74","Season.1874.75","Season.1875.76","Season.1876.77","Season.1877.78","Season.1878.79","Season.1879.80","Season.1880.81","Season.1881.82","Season.1882.83","Season.1883.84","Season.1884.85","Season.1885.86","Season.1886.87","Season.1887.88","Season.1888.89","Season.1889.90","Season.1890.91","Season.1891.92","Season.1892.93","Season.1893.94","Season.1894.95","Season.1895.96","Season.1896.97","Season.1897.98","Season.1898.99","Season.1899.00","Season.1900.01","Season.1901.02","Season.1902.03","Season.1903.04","Season.1904.05","Season.1905.06","Season.1906.07","Season.1907.08","Season.1908.09","Season.1909.10","Season.1910.11","Season.1911.12","Season.1914.15","Season.1912.13","Season.1913.14","Season.1915.16","Season.1916.17","Season.1917.18","Season.1918.19","Season.1919.20","Season.1920.21","Season.1921.22","Season.1922.23","Season.1923.24","Season.1924.25","Season.1925.26","Season.1926.27","Season.1927.28","Season.1928.29","Season.1929.30","Season.1930.31","Season.1931.32","Season.1932.33","Season.1933.34","Season.1934.35","Season.1935.36","Season.1936.37","Season.1937.38","Season.1938.39","Season.1939.40","Season.1940.41","Season.1941.42","Season.1942.43","Season.1943.44","Season.1944.45","Season.1945.46","Season.1946.47","Season.1947.48","Season.1948.49","Season.1949.50","Season.1950.51","Season.1951.52","Season.1952.53","Season.1953.54","Season.1954.55","Season.1955.56","Season.1956.57","Season.1957.58","Season.1958.59","Season.1959.60","Season.1960.61","Season.1961.62","Season.1962.63","Season.1963.64","Season.1964.65","Season.1965.66","Season.1966.67","Season.1967.68","Season.1968.69","Season.1969.70","Season.1970.71","Season.1971.72","Season.1972.73","Season.1973.74","Season.1974.75","Season.1975.76","Season.1976.77","Season.1977.78","Season.1978.79","Season.1979.80","Season.1980.81","Season.1981.82","Season.1982.83","Season.1983.84","Season.1984.85","Season.1985.86","Season.1986.87","Season.1987.88","Season.1988.89","Season.1989.90","Season.1990.91","Season.1991.92","Season.1992.93","Season.1993.94","Season.1994.95","Season.1995.96","Season.1996.97","Season.1997.98","Season.1998.99","Season.1999.00","Season.2000.01","Season.2001.02","Season.2002.03","Season.2003.04","Season.2004.05","Season.2005.06","Season.2006.07","Season.2007.08","Season.2008.09","Season.2009.10","Season.2010.11","Season.2011.12","Season.2012.13","Season.2013.14","Season.2014.15","Season.2015.16","nation"
"1","Beethoven, Ludwig van",0.176470588235294,0.0833333333333333,0.148148148148148,0.0909090909090909,0.125,0.0909090909090909,0.0555555555555556,0.08,0.0833333333333333,0.0689655172413793,0.1,0.103448275862069,0.135135135135135,0.0740740740740741,0.0909090909090909,0.107142857142857,0.102564102564103,0.138888888888889,0.0769230769230769,0.151515151515152,0.162162162162162,0.108108108108108,0.258064516129032,0.0857142857142857,0.142857142857143,0.103448275862069,0.205882352941176,0.212121212121212,0.243243243243243,0.162162162162162,0.137931034482759,0.114285714285714,0.131578947368421,0.151515151515152,0.26,0.258064516129032,0.13,0.16,0.169811320754717,0.224137931034483,0.137931034482759,0.12280701754386,0.142857142857143,0.169014084507042,0.166666666666667,0.151515151515152,0.136986301369863,0.126760563380282,0.0875,0.114942528735632,0.0862068965517241,0.0533333333333333,0.0875,0.141025641025641,0.0491803278688525,0.12,0.0549450549450549,0.0659340659340659,0.0421263791374122,0.12,0.0421052631578947,0.0387596899224806,0.0858369098712446,0.0833333333333333,0.0597826086956522,0.261904761904762,0.168776371308017,0.13109756097561,0.0642398286937901,0.0523012552301255,0.0773809523809524,0.0625,0.0995024875621891,0.0531803962460897,0.060781476121563,0.0422535211267606,0.0416666666666667,0.066079295154185,0.084070796460177,0.0749148694665153,0.0689252336448598,0.106205250596659,0.0702127659574468,0.0889132821075741,0.0858960763520679,0.069620253164557,0.0704041720990874,0.081351689612015,0.0498533724340176,0.0718157181571816,0.0823045267489712,0.0979667282809612,0.0566037735849057,0.0744186046511628,0.048411497730711,0.057742782152231,0.0929368029739777,0.0512820512820513,0.0512820512820513,0.0736196319018405,0.0528571428571429,0.0717185385656292,0.0676691729323308,0.0334728033472803,0.0672748004561003,0.0726978998384491,0.074245939675174,0.0566037735849057,0.078125,0.046031746031746,0.0665701881331404,0.0882352941176471,0.0510440835266821,0.0626598465473146,0.0478589420654912,0.0363636363636364,0.0750750750750751,0.0785024154589372,0.0582781456953642,0.0420841683366733,0.0481099656357388,0.0635245901639344,0.040983606557377,0.0327510917030568,0.0767123287671233,0.0583804143126177,0.0304449648711944,0.0483870967741935,0.0703363914373089,0.04,0.0253807106598985,0.0568475452196382,0.0454545454545455,0.041036717062635,0.0383693045563549,0.0652591170825336,0.044543429844098,0.159340659340659,0.0462724935732648,0.0607594936708861,0.0493827160493827,0.0572916666666667,0.0635514018691589,0.0234986945169713,0.0461538461538462,0.0304568527918782,0.0506024096385542,0.0901162790697674,0.0249376558603491,0.0418410041841004,0.037037037037037,0.12111801242236,0.0840336134453782,0.0654627539503386,0.01875,0.0341151385927505,0.121276595744681,0.0235849056603774,0.0213414634146341,0.0715990453460621,0.0598911070780399,0.0590476190476191,0.0315789473684211,0.0327868852459016,0.0383597883597884,0.0425531914893617,0.0272206303724928,0.0478359908883827,0.0667556742323097,0.0490506329113924,0.0229508196721311,0.0399449035812672,0.0258751902587519,0.03125,"german"
"2","Weber, Carl Maria Von",0.147058823529412,0.125,0.111111111111111,0.0909090909090909,0.0833333333333333,0.0606060606060606,0.138888888888889,0.04,0,0.172413793103448,0.0666666666666667,0.0344827586206897,0.0810810810810811,0.0740740740740741,0.0606060606060606,0.0357142857142857,0.0512820512820513,0.0833333333333333,0.0192307692307692,0.0303030303030303,0,0.108108108108108,0.0645161290322581,0.0285714285714286,0.0285714285714286,0.103448275862069,0.0294117647058824,0.0909090909090909,0.027027027027027,0.0540540540540541,0.0689655172413793,0.0285714285714286,0.0526315789473684,0,0.02,0.032258064516129,0.01,0.0266666666666667,0.0377358490566038,0.0172413793103448,0.0172413793103448,0.0526315789473684,0.0317460317460317,0.028169014084507,0.037037037037037,0.0151515151515152,0.0136986301369863,0.0140845070422535,0.0125,0.0574712643678161,0.00862068965517241,0.0266666666666667,0,0.0128205128205128,0.0163934426229508,0.0266666666666667,0.032967032967033,0.021978021978022,0.0180541624874624,0.04,0.0105263157894737,0.00387596899224806,0.0214592274678112,0.0208333333333333,0.0108695652173913,0.0119047619047619,0.0168776371308017,0.00609756097560976,0.0214132762312634,0.0481171548117155,0.0267857142857143,0.0165441176470588,0.0066334991708126,0.0187695516162669,0.0231548480463097,0.0109546165884194,0.00694444444444444,0.00881057268722467,0.0106194690265487,0.0249716231555051,0.0151869158878505,0.0286396181384248,0.0308510638297872,0.0274423710208562,0.031813361611877,0.0158227848101266,0.0117340286831812,0.0100125156445557,0.0175953079178886,0.0230352303523035,0.0109739368998628,0.0203327171903882,0.0207547169811321,0.0263565891472868,0.027231467473525,0.0196850393700787,0.0198265179677819,0.0229419703103914,0.0166666666666667,0.0122699386503067,0.0142857142857143,0.0148849797023004,0.0112781954887218,0.0125523012552301,0.0171037628278221,0.0145395799676898,0.00348027842227378,0.011611030478955,0.0234375,0.0158730158730159,0.00434153400868307,0.00668449197860963,0.0232018561484919,0.0191815856777494,0.00755667506297229,0.00909090909090909,0.0045045045045045,0,0.00264900662251656,0,0.0103092783505155,0.00204918032786885,0.00204918032786885,0.00873362445414847,0.010958904109589,0.00753295668549906,0.00234192037470726,0,0.0122324159021407,0.0141176470588235,0.0228426395939086,0.020671834625323,0.00909090909090909,0.00215982721382289,0,0.00959692898272553,0.0044543429844098,0,0.0077120822622108,0.00506329113924051,0.0172839506172839,0.0130208333333333,0.0168224299065421,0.0234986945169713,0.0021978021978022,0,0,0.00872093023255814,0.00249376558603491,0.00418410041841004,0.0056980056980057,0,0.00840336134453781,0,0,0,0,0.00235849056603774,0,0.00715990453460621,0.00362976406533575,0.00571428571428571,0,0.00819672131147541,0.0119047619047619,0,0.00143266475644699,0.00227790432801822,0.00133511348464619,0,0.00327868852459016,0.00137741046831956,0,0,"german"
"3","Hummel, Johann",0.117647058823529,0.125,0.037037037037037,0,0,0,0.0277777777777778,0.04,0.0416666666666667,0,0.0333333333333333,0,0,0,0,0,0,0.0277777777777778,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114942528735632,0,0.0133333333333333,0,0,0.00546448087431694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188323917137476,0,0,0,0,0,0,0,0.00215982721382289,0,0,0,0,0,0,0.00740740740740741,0,0.00373831775700935,0,0,0,0,0,0,0,0,0,0,0,0,0.00213219616204691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"german"
"4","Rossini, Gioachino",0.117647058823529,0.0416666666666667,0,0.0909090909090909,0.0416666666666667,0,0,0.08,0,0,0,0,0.027027027027027,0,0,0,0.0256410256410256,0,0.0384615384615385,0,0,0.027027027027027,0,0.0285714285714286,0,0,0,0.0303030303030303,0.027027027027027,0,0.0344827586206897,0.0285714285714286,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114942528735632,0,0,0,0,0.00546448087431694,0,0,0.010989010989011,0.0120361083249749,0,0,0,0.00429184549356223,0,0.0108695652173913,0,0,0,0,0.00209205020920502,0.00595238095238095,0.00183823529411765,0.00165837479270315,0.00104275286757039,0.00144717800289436,0.0125195618153365,0.00138888888888889,0.00330396475770925,0.00176991150442478,0.00340522133938706,0.00350467289719626,0.0035799522673031,0.00319148936170213,0.00548847420417124,0.0031813361611877,0.0232067510548523,0.00651890482398957,0.016270337922403,0.0175953079178886,0.00677506775067751,0.00411522633744856,0.00739371534195933,0.00943396226415094,0.00465116279069767,0.010590015128593,0.00131233595800525,0.023543990086741,0.0175438596491228,0.00641025641025641,0.00306748466257669,0.00714285714285714,0.006765899864682,0.012531328320802,0.0142259414225941,0.00684150513112885,0.00807754442649435,0.00348027842227378,0.011611030478955,0.009375,0.0222222222222222,0.0144717800289436,0.0133689839572193,0.0185614849187935,0.0153452685421995,0.0100755667506297,0.00340909090909091,0.0015015015015015,0.0229468599033816,0.0145695364238411,0.0100200400801603,0.0103092783505155,0.0102459016393443,0.00614754098360656,0.00873362445414847,0.00273972602739726,0.00376647834274953,0.0210772833723653,0.00806451612903226,0.0152905198776758,0.00705882352941176,0.0101522842639594,0.00258397932816537,0.00909090909090909,0.00215982721382289,0.00239808153477218,0.0115163147792706,0.022271714922049,0.0137362637362637,0,0.010126582278481,0.00493827160493827,0.00260416666666667,0,0.00261096605744125,0.0021978021978022,0.00253807106598985,0.00240963855421687,0.00581395348837209,0,0.00418410041841004,0.0056980056980057,0.0124223602484472,0.0140056022408964,0,0,0.00213219616204691,0.00212765957446809,0.00235849056603774,0.00304878048780488,0.00477326968973747,0,0.00380952380952381,0,0.0131147540983607,0.00529100529100529,0.0132978723404255,0.00573065902578797,0.00569476082004556,0,0,0.00491803278688525,0.00550964187327824,0.0030441400304414,0.003125,"italian"
"5","Mozart, Wolfgang Amadeus",0.0588235294117647,0.0833333333333333,0.037037037037037,0.0909090909090909,0.0833333333333333,0.151515151515152,0,0,0.0833333333333333,0.0344827586206897,0.0333333333333333,0.0344827586206897,0.0540540540540541,0,0.0909090909090909,0.142857142857143,0.0256410256410256,0.111111111111111,0.0384615384615385,0.0606060606060606,0.0540540540540541,0.0810810810810811,0.032258064516129,0.0571428571428571,0.171428571428571,0.103448275862069,0.0294117647058824,0.121212121212121,0.0810810810810811,0.0540540540540541,0.0344827586206897,0.0285714285714286,0.105263157894737,0.0303030303030303,0.02,0.032258064516129,0.04,0.0533333333333333,0.0377358490566038,0.0517241379310345,0.0517241379310345,0.0526315789473684,0.0158730158730159,0.028169014084507,0.0185185185185185,0.0303030303030303,0.0684931506849315,0.0563380281690141,0.0625,0.0804597701149425,0.00862068965517241,0.0133333333333333,0.0125,0,0,0.04,0.0549450549450549,0,0.00702106318956871,0.02,0.0210526315789474,0.0155038759689922,0.0386266094420601,0.0260416666666667,0.0489130434782609,0.0178571428571429,0.0464135021097046,0.0182926829268293,0.0171306209850107,0.0230125523012552,0.0178571428571429,0.0330882352941176,0.0199004975124378,0.00625651720542232,0.0144717800289436,0.0203442879499218,0.0263888888888889,0.0209251101321586,0.0185840707964602,0.018161180476731,0.0303738317757009,0.022673031026253,0.0319148936170213,0.026344676180022,0.0212089077412513,0.0274261603375527,0.0338983050847458,0.0438047559449312,0.0366568914956012,0.0691056910569106,0.0274348422496571,0.0536044362292052,0.0452830188679245,0.0387596899224806,0.0438729198184569,0.036745406824147,0.0297397769516729,0.0350877192982456,0.0461538461538462,0.0414110429447853,0.0271428571428571,0.0311231393775372,0.0338345864661654,0.0225941422594142,0.0285062713797035,0.037156704361874,0.0278422273781903,0.0406386066763425,0.0546875,0.0396825396825397,0.0564399421128799,0.036096256684492,0.0301624129930394,0.0601023017902813,0.0302267002518892,0.0272727272727273,0.0315315315315315,0.035024154589372,0.0291390728476821,0.0360721442885772,0.0360824742268041,0.0368852459016393,0.0307377049180328,0.0698689956331878,0.0301369863013699,0.0395480225988701,0.0281030444964871,0.0672043010752688,0.0275229357798165,0.0729411764705882,0.0431472081218274,0.0671834625322997,0.0545454545454545,0.041036717062635,0.0479616306954436,0.0479846449136276,0.0378619153674833,0.0302197802197802,0.0488431876606684,0.108860759493671,0.0567901234567901,0.0572916666666667,0.0542056074766355,0.0469973890339426,0.0725274725274725,0.0456852791878173,0.036144578313253,0.0436046511627907,0.221945137157107,0.150627615062762,0.0313390313390313,0.0714285714285714,0.0252100840336134,0.0203160270880361,0.03125,0.0383795309168444,0.0148936170212766,0.0188679245283019,0.0518292682926829,0.0596658711217184,0.0381125226860254,0.0266666666666667,0.0126315789473684,0.0721311475409836,0.0396825396825397,0.0279255319148936,0.0300859598853868,0.0432801822323462,0.0213618157543391,0.0458860759493671,0.0344262295081967,0.0303030303030303,0.0365296803652968,0.03125,"german"
"6","Kalliwoda, Johann W.",0.0294117647058824,0.0416666666666667,0,0.0303030303030303,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114942528735632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109769484083425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188323917137476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na"
"7","Bellini, Vincenzo",0.0294117647058824,0.0416666666666667,0,0,0.0416666666666667,0,0,0,0,0.0344827586206897,0,0,0.027027027027027,0,0,0.0357142857142857,0,0,0.0192307692307692,0.0606060606060606,0,0,0,0,0,0,0,0,0,0,0,0.0285714285714286,0,0,0,0,0,0,0,0,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297619047619048,0,0.00165837479270315,0,0.00144717800289436,0.00156494522691706,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137174211248285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116009280742459,0,0.0015625,0.00158730158730159,0,0.00133689839572193,0.00116009280742459,0.00255754475703325,0.00377833753148615,0,0,0.00120772946859903,0,0.00200400801603206,0,0,0,0,0.00821917808219178,0,0,0,0.00305810397553517,0,0,0,0,0,0,0,0.0022271714922049,0.00549450549450549,0,0.00253164556962025,0,0,0,0,0.0021978021978022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113895216400911,0,0,0,0,0,0,"italian"
"8","Romberg, Bernhard",0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na"
"9","Pacini, Giovanni",0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0.0357142857142857,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"italian"
"10","Onslow, George",0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"french"
